index,Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,Community Board,Council District,Census Tract,log_DOF Gross Floor Area,log_Largest Property Use Type - Gross Floor Area (ft²),log_Direct GHG Emissions (Metric Tons CO2e),log_Water Intensity (All Water Sources) (gal/ft²),Borough_Queens,Borough_Staten Island
6443,7763,4926030,76860,1923,1,100,145.4,3.5,1.4,10219179.1,109843.8,952668.8,271976.3,131.77,40.871419,-73.902443,8,14,273,11.24974086,11.24974086,6.296740928,4.881057979,0,0
6416,7732,5866318,53500,1927,1,100,66.1,0.6,0.6,3996001,39960,130645.5,38290,101.7424207,40.871918,-73.902287,8,14,26702,10.88743693,11.04159295,5.357529226,3.794018727,0,0
6075,7215,3109624,82161,2006,1,100,82.1,6.732861157,0.478642298,5223628.9,66944.70117,1644356.4,1381668.643,88.09,40.84126,-73.920739,4,16,21302,11.31643602,11.31643602,5.625820933,4.478359019,0,0
7018,8442,5857980,153804,1964,1,100,65,6.9,0.1,1295715.1,13161.5,3777295.9,1058768.6,100.83,40.854146,-73.859861,11,13,248,11.94343434,11.94343434,6.084727178,4.61343593,0,0
11286,14222,4040495,146508,1953,1,100,59.9,2,0.5,7963306.6,82443.2,1076699.8,308441.4,51.03,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,11.89483531,11.92439253,6.047372179,3.932413695,1,0
3547,4067,3956193,108558,1961,1,100,69.7,5.4,0.2,2493799.9,24938,2273224.6,634646.7,101.7424207,40.759497,-73.963672,6,5,108,11.59503987,11.66914258,4.886582645,3.794018727,0,0
4904,5685,4907222,65172,1926,1,100,72.5,4.3,0.6,3732900,40901.8,989793.9,281696.1,50.17,40.813557,-73.961139,9,7,211,11.08478521,11.08478521,5.289781036,3.915417238,0,0
6371,7678,2558922,202600,1952,1,100,80.1,5.3,0.7,11351300.2,124516.9,3465356.7,982185.4,89.94,40.856718,-73.916187,5,14,247,12.21898887,12.1281111,6.401751345,4.499142781,0,0
11279,14215,2794441,67000,1959,1,100,79.8,4.2,0.7,4356100,46220.9,985153.6,280383.1,101.7424207,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,11.1124479,11.1111336,5.444147815,3.794018727,1,0
6623,7960,3155504,54000,1923,1,100,77.5,3.7,0.478642298,6299575.527,66944.70117,797819.8,222495.7,101.7424207,40.870974,-73.889601,7,14,40701,10.89673933,10.99204951,5.642970335,3.794018727,0,0
2062,2414,4405692,150340,1987,1,100,91.3,10.3,0.6,8545311.8,94648.3,5731930.5,1614202.5,101.7424207,40.74044,-73.984302,5,2,68,11.92065467,11.92662326,6.117876909,3.794018727,0,0
